UniProt_accession,Protein_name,Gene,Length
A0ABR0TEI2,DUF7053 domain-containing protein,QM012_001492,181
A0ABR0TFF4,Uncharacterized protein,QM012_001009,101
A0ABR0TGD5,MIF4G domain-containing protein,QM012_009282,1382
A0ABR0TGJ7,ER lumen protein retaining receptor,QM012_009328,353
A0ABR0TGM8,RRM domain-containing protein,QM012_009360,321
A0ABR0THI4,WD40 repeat-like protein,QM012_008750,443
A0ABR0THQ1,Protein transport protein SEC22,QM012_008826,216
A0ABR0THW8,Mitochondrial distribution and morphology protein 34,MDM34,538
A0ABR0TII4,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_009099,530
A0ABR0TIK6,Enoyl reductase (ER) domain-containing protein,QM012_008761,358
A0ABR0TJC2,Aminotransferase class I/classII large domain-containing protein,QM012_008299,603
A0ABR0TJU1,C6 zinc finger domain-containing protein,QM012_008591,331
A0ABR0TJZ9,Glycosyl hydrolase family 13 catalytic domain-containing protein,QM012_008647,590
A0ABR0TK42,FAD-binding FR-type domain-containing protein,QM012_009100,372
A0ABR0TK86,"mannan endo-1,4-beta-mannosidase",QM012_007642,496
A0ABR0TKA4,sterol 22-desaturase,QM012_008222,532
A0ABR0TKF0,Uncharacterized protein,QM012_008218,485
A0ABR0TKY1,Uncharacterized protein,QM012_008669,116
A0ABR0TLU4,AAA+ ATPase domain-containing protein,QM012_007055,1882
A0ABR0TLV6,WH2 domain-containing protein,QM012_008008,444
A0ABR0TLW9,DUF7626 domain-containing protein,QM012_007088,652
A0ABR0TM75,HpcH/HpaI aldolase/citrate lyase domain-containing protein,QM012_007161,316
A0ABR0TMG7,Chromosome disjunction protein 3,QM012_008141,987
A0ABR0TN67,Chaperone/heat shock protein Hsp12,QM012_007520,128
A0ABR0TNA2,Alpha/beta hydrolase fold-3 domain-containing protein,QM012_007556,353
A0ABR0TP35,ELMO domain-containing protein,QM012_006609,692
A0ABR0TPK5,NAD(P)-binding protein,QM012_006462,362
A0ABR0TPT1,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_006511,542
A0ABR0TPU2,Pre-mRNA-processing factor 19,QM012_006552,477
A0ABR0TPZ7,Inosine/uridine-preferring nucleoside hydrolase domain-containing protein,QM012_006933,475
A0ABR0TQA0,Uncharacterized protein,QM012_005636,462
A0ABR0TQD1,Thioredoxin domain-containing protein,QM012_006721,158
A0ABR0TQN6,Peroxin-7,QM012_005744,349
A0ABR0TQU7,Matrin-type domain-containing protein,QM012_005647,273
A0ABR0TR59,WD40 repeat-like protein,QM012_005956,489
A0ABR0TR84,Zinc/iron permease,QM012_005961,508
A0ABR0TRR1,L-dopachrome isomerase,QM012_006151,452
A0ABR0TS76,Nuclear pore complex protein Nup85,QM012_006306,1040
A0ABR0TSA1,JmjC domain-containing histone demethylation protein 1,QM012_005764,1680
A0ABR0TSE5,Transcription factor domain-containing protein,QM012_004172,437
A0ABR0TT61,Uncharacterized protein,QM012_004477,54
A0ABR0TT98,Apple domain-containing protein,QM012_004205,687
A0ABR0TTJ1,Uncharacterized protein,QM012_004541,1148
A0ABR0TU26,NADH dehydrogenase 29/21K chain,QM012_004778,194
A0ABR0TUJ1,Uncharacterized protein,QM012_004350,408
A0ABR0TUJ2,FAM50A/XAP5 C-terminal domain-containing protein,QM012_004334,370
A0ABR0TUL7,DUF7587 domain-containing protein,QM012_000051,368
A0ABR0TUQ7,Pre-mRNA-splicing factor cef1,QM012_000092,776
A0ABR0TUZ4,Elongator complex protein 1,QM012_004500,1310
A0ABR0TV50,Tafazzin family protein,QM012_000262,373
A0ABR0TVC7,non-specific serine/threonine protein kinase,QM012_004654,707
A0ABR0TW07,Uncharacterized protein,QM012_000390,144
A0ABR0TWA5,tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase,QM012_000402,340
A0ABR0TWJ8,glycerol kinase,QM012_000671,514
A0ABR0TWT6,Uncharacterized protein,QM012_000776,208
A0ABR0TWU3,AB hydrolase-1 domain-containing protein,QM012_000569,337
A0ABR0TWV3,G10 protein,QM012_000584,166
A0ABR0TX48,Uncharacterized protein,QM012_000732,142
A0ABR0TXD2,Uncharacterized protein,QM012_000700,171
A0A4S8WFU2,40S ribosomal protein S30,QM012_004772,62
A0ABR0T4P7,DUF4139 domain-containing protein,QM012_005582,222
A0ABR0T4T9,Homeobox domain-containing protein,QM012_005450,537
A0ABR0T510,Palmitoyltransferase,QM012_005373,407
A0ABR0T5N3,Uncharacterized protein,QM012_005568,76
A0ABR0T5T4,RRM domain-containing protein,QM012_005204,572
A0ABR0T656,Molybdenum cofactor sulfurase,hxB,797
A0ABR0T6G1,Methyltransferase type 11 domain-containing protein,QM012_004011,1508
A0ABR0T6N1,DUF3074 domain-containing protein,QM012_005308,301
A0ABR0T709,Uncharacterized protein,QM012_003860,516
A0ABR0T739,"Histone-lysine N-methyltransferase, H3 lysine-4 specific",QM012_005005,1239
A0ABR0T7V8,AMP-dependent synthetase/ligase domain-containing protein,QM012_003771,718
A0ABR0T7Y4,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_003801,523
A0ABR0T860,"1,3-beta-glucanosyltransferase",QM012_003924,394
A0ABR0T8I4,Bola-like protein,QM012_003476,101
A0ABR0T8P4,Transcription factor domain-containing protein,QM012_003533,328
A0ABR0T8P6,Delta 8-(E)-sphingolipid desaturase,QM012_003474,553
A0ABR0T993,Uncharacterized protein,QM012_003407,364
A0ABR0T9J0,tRNA-splicing endonuclease subunit Sen54 N-terminal domain-containing protein,QM012_003197,413
A0ABR0T9V9,Alpha/beta hydrolase fold-3 domain-containing protein,QM012_002546,382
A0ABR0T9W3,Alpha-L-arabinofuranosidase,QM012_002544,501
A0ABR0TAC5,Uncharacterized protein,QM012_003054,120
A0ABR0TAK3,ABC transporter domain-containing protein,QM012_002585,1394
A0ABR0TBM5,Inositol-1-monophosphatase,QM012_002657,336
A0ABR0TC98,WD40 repeat-like protein,QM012_002882,1260
A0ABR0TCF4,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_002181,594
A0ABR0TD23,BZIP domain-containing protein,QM012_001978,353
A0ABR0TDK3,Rhodopsin domain-containing protein,QM012_001764,371
A0ABR0TDY0,SET domain-containing protein,QM012_001391,402
A0ABR0TDZ0,Nucleotide-diphospho-sugar transferase,QM012_001374,390
A0ABR0TE03,non-specific serine/threonine protein kinase,QM012_001389,973
A0ABR0TE87,RNA polymerase Rpb4/RPC9 core domain-containing protein,QM012_001402,153
A0ABR0TE88,NTF2-like domain-containing protein,QM012_001894,193
A0ABR0TEK1,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,QM012_001429,319
A0ABR0TEL5,Uncharacterized protein,QM012_002014,67
A0ABR0TFV5,Rhodopsin domain-containing protein,QM012_001176,331
A0ABR0TFW1,Micro-fibrillar-associated protein 1 C-terminal domain-containing protein,QM012_001159,399
A0ABR0TFW6,Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein,QM012_001177,604
A0ABR0TFX6,ABC transporter transmembrane region 2,QM012_001175,890
A0ABR0TFZ4,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_001112,494
A0ABR0TG00,Mediator of RNA polymerase II transcription subunit 7,QM012_001213,238
A0ABR0TGA1,Autophagy-related protein 17,QM012_009240,464
A0ABR0TGV6,DRBM domain-containing protein,QM012_001035,398
A0ABR0TH51,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3,QM012_009534,242
A0ABR0THH1,Enoyl reductase (ER) domain-containing protein,QM012_008719,333
A0ABR0THN7,AB hydrolase-1 domain-containing protein,QM012_008811,250
A0ABR0THP4,Phosphotransferase,QM012_008810,490
A0ABR0THS8,NAD(P)-binding protein,QM012_008840,405
A0ABR0TI51,Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein,QM012_009411,620
A0ABR0TI95,Dna-binding protein,QM012_008697,117
A0ABR0TIJ7,Amino acid transporter,QM012_009103,605
A0ABR0TIR5,Apple domain-containing protein,QM012_008198,390
A0ABR0TIW2,GPI ethanolamine phosphate transferase 1,QM012_009122,576
A0ABR0TJ62,Anaphase-promoting complex subunit CDC26,QM012_008971,69
A0ABR0TK01,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_009105,515
A0ABR0TK66,Galactosyl transferase GMA12/MNN10 family protein,QM012_008661,498
A0ABR0TK78,Methylenetetrahydrofolate reductase,QM012_008521,656
A0ABR0TKB3,Protein-serine/threonine kinase,QM012_008388,488
A0ABR0TKL0,MFS general substrate transporter,QM012_008292,427
A0ABR0TKT1,DNA polymerase alpha subunit B,QM012_007806,646
A0ABR0TL19,Ras GEF,QM012_007922,1635
A0ABR0TLE6,Uncharacterized protein,QM012_008577,200
A0ABR0TLR0,Translation initiation factor 3 N-terminal domain-containing protein,QM012_007600,238
A0ABR0TMF3,Integral membrane protein,QM012_007236,531
A0ABR0TMJ5,Glucose-repressible protein,QM012_007899,88
A0ABR0TML5,CRAL-TRIO domain-containing protein,QM012_007234,544
A0ABR0TMM8,V-type proton ATPase proteolipid subunit,QM012_007064,162
A0ABR0TMV8,Uncharacterized protein,QM012_007374,188
A0ABR0TNF9,DUF7593 domain-containing protein,QM012_006381,1074
A0ABR0TNY0,SnoaL-like domain-containing protein,QM012_007591,183
A0ABR0TP79,Nucleolar 27S pre-rRNA processing Urb2/Npa2 C-terminal domain-containing protein,QM012_006648,1426
A0ABR0TPF4,RNI-like protein,QM012_006417,561
A0ABR0TPJ7,Apple domain-containing protein,QM012_007422,294
A0ABR0TPR1,DNA mismatch repair protein MSH5,QM012_006830,1002
A0ABR0TQG8,Vacuolar segregation subunit 7-domain-containing protein,QM012_005669,966
A0ABR0TQS0,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_005802,537
A0ABR0TQT4,Transmembrane 9 superfamily member,QM012_005816,644
A0ABR0TQW8,DNA replication regulator SLD2,QM012_005725,470
A0ABR0TS23,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_006130,505
A0ABR0TS78,Nucleolar complex-associated protein 3,QM012_006312,681
A0ABR0TSA9,Fumarylacetoacetase,QM012_006336,411
A0ABR0TSD2,Ribosome recycling factor domain-containing protein,QM012_006069,273
A0ABR0TSD7,HORMA domain-containing protein,QM012_006084,746
A0ABR0TSE4,Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein,QM012_006035,612
A0ABR0TSF9,Cytochrome P450,QM012_004207,423
A0ABR0TSI5,Transcription factor SWI6,QM012_004225,658
A0ABR0TSV0,Aldolase,QM012_006307,328
A0ABR0TT54,DUF423-domain-containing protein,QM012_006064,123
A0ABR0TTP7,"Arabinan endo-1,5-alpha-L-arabinosidase",QM012_004276,325
A0ABR0TU36,DNA polymerase delta subunit 4,QM012_004822,196
A0ABR0TUG4,UPF3 domain-containing protein,QM012_004339,544
A0ABR0TUT8,Mitochondrial genome maintenance protein Mgr2,QM012_000166,110
A0ABR0TUV7,Peptidase A1 domain-containing protein,QM012_000101,606
A0ABR0TUY9,Uncharacterized protein,QM012_000168,179
A0ABR0TV63,Mg2+ transporter protein,QM012_000286,529
A0ABR0TV93,laccase,QM012_000316,600
A0ABR0TWI0,Swi5-domain-containing protein,QM012_000340,130
A0ABR0TWJ9,Pre-mRNA-splicing factor CWC2,QM012_000635,416
A0ABR0TWL7,Cytochrome protein,QM012_000768,520
A0ABR0TXP7,MHD domain-containing protein,QM012_000623,437
A0ABR0T4D4,Zn(2)-C6 fungal-type domain-containing protein,QM012_005608,662
A0ABR0T4Y6,Cytochrome P450,QM012_005366,448
A0ABR0T5F8,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_005084,534
A0ABR0T600,Serine aminopeptidase S33 domain-containing protein,QM012_005306,309
A0ABR0T637,DUF3500 domain-containing protein,QM012_004983,411
A0ABR0T6P7,asparaginase,QM012_005288,517
A0ABR0T6W7,Uncharacterized protein,QM012_004161,112
A0ABR0T7E7,Tcp11-domain-containing protein,QM012_003599,985
A0ABR0T7Z2,Uncharacterized protein,QM012_003799,100
A0ABR0T849,Uncharacterized protein,QM012_003738,174
A0ABR0T8S5,RmlC-like cupin,QM012_003568,370
A0ABR0T9L1,BZIP domain-containing protein,QM012_003346,657
A0ABR0T9R5,Actin-like ATPase domain-containing protein,QM012_003587,566
A0ABR0TBK8,DUF4045 domain-containing protein,QM012_002324,1216
A0ABR0TBN8,Sphingomyelin phosphodiesterase,QM012_002354,630
A0ABR0TBP7,Peptidase A1 domain-containing protein,QM012_002352,584
A0ABR0TBT4,Myb-like domain-containing protein,QM012_002717,275
A0ABR0TC37,L-cystine transporter-like protein,QM012_002871,278
A0ABR0TC73,Uncharacterized protein,QM012_002499,143
A0ABR0TC97,Complex 1 LYR protein domain-containing protein,QM012_001693,79
A0ABR0TCQ2,NAD(P)-binding protein,QM012_001866,252
A0ABR0TCX1,Alpha-aminoadipate reductase,QM012_002361,1173
A0ABR0TDC2,Cytochrome b5 reductase-like protein,QM012_002071,464
A0ABR0TDH9,Uncharacterized protein,QM012_001734,242
A0ABR0TDN6,Concanavalin A-like lectin/glucanase,QM012_001302,257
A0ABR0TED8,Ino eighty subunit 1,QM012_001939,850
A0ABR0TES8,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_001235,464
A0ABR0TF66,amidase,QM012_000919,579
A0ABR0TFC0,quinol--cytochrome-c reductase,QM012_001562,337
A0ABR0TFF0,GTP-binding nuclear protein,QM012_001592,230
A0ABR0TFL9,Uncharacterized protein,QM012_001078,155
A0ABR0TG19,U3 small nucleolar RNA-associated protein 11,QM012_001655,276
A0ABR0TG65,Probable beta-glucosidase G,QM012_009190,803
A0ABR0TGS5,adenine phosphoribosyltransferase,QM012_009323,285
A0ABR0TGS7,ATP-grasp domain-containing protein,QM012_009405,433
A0ABR0TGS8,histidine kinase,QM012_009419,1129
A0ABR0TGU4,Aquaporin-like protein,QM012_000985,283
A0ABR0THH9,"3'(2'),5'-bisphosphate nucleotidase",QM012_001211,356
A0ABR0TI72,"Valine--tRNA ligase, mitochondrial",QM012_008994,1091
A0ABR0TJ64,DNA (cytosine-5)-methyltransferase 1 replication foci domain-containing protein,QM012_008304,500
A0ABR0TJB5,Uncharacterized protein,QM012_008411,221
A0ABR0TKA0,Flavin reductase like domain-containing protein,QM012_007658,264
A0ABR0TL22,PalH-domain-containing protein,QM012_007631,717
A0ABR0TL64,Uncharacterized protein,QM012_007861,217
A0ABR0TLI9,P-loop containing nucleoside triphosphate hydrolase protein,QM012_008622,547
A0ABR0TLM6,DUF803-domain-containing protein,QM012_007933,690
A0ABR0TLV5,U-box domain-containing protein,QM012_007845,294
A0ABR0TLX7,Transcription factor domain-containing protein,QM012_008023,533
A0ABR0TMV9,BZIP domain-containing protein,QM012_007415,228
A0ABR0TN30,NAD(P)-binding protein,QM012_007214,260
A0ABR0TN72,Uncharacterized protein,QM012_007535,469
A0ABR0TNC1,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",QM012_007582,520
A0ABR0TNC7,Transcription factor domain-containing protein,QM012_007048,486
A0ABR0TNQ0,WD40 repeat-like protein,QM012_006487,851
A0ABR0TNW4,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_006562,458
A0ABR0TNZ2,Cytochrome c oxidase assembly protein,QM012_007242,112
A0ABR0TNZ5,Uncharacterized protein,QM012_006374,432
A0ABR0TP05,ADF-H domain-containing protein,QM012_006561,1203
A0ABR0TPE2,A/B/D/E cyclin,QM012_006710,487
A0ABR0TPF7,GPI anchored cell wall protein,QM012_006729,230
A0ABR0TPN0,CST complex subunit Stn1 N-terminal domain-containing protein,QM012_006800,258
A0ABR0TQB2,Amino acid permease/ SLC12A domain-containing protein,QM012_006717,555
A0ABR0TQL0,Uncharacterized protein,QM012_006565,359
A0ABR0TQU9,Beta-hexosaminidase,QM012_005831,589
A0ABR0TQW1,Uncharacterized protein,QM012_005851,154
A0ABR0TRA8,DUF3824 domain-containing protein,QM012_005645,5451
A0ABR0TRB2,NUDE domain-containing protein,QM012_005972,683
A0ABR0TRD5,RWD domain-containing protein,QM012_006835,259
A0ABR0TRE8,Calcineurin-like phosphoesterase domain-containing protein,QM012_005842,254
A0ABR0TRJ2,DNA topoisomerase I,QM012_006062,869
A0ABR0TRL0,Glycoside hydrolase family 43 protein,QM012_006926,462
A0ABR0TRR6,amidase,QM012_005633,535
A0ABR0TRU0,NUC153 domain-containing protein,QM012_006040,321
A0ABR0TRU7,FAD-binding domain-containing protein,QM012_007016,592
A0ABR0TRX6,Transcriptional regulator,QM012_006211,607
A0ABR0TRZ0,DUF7624 domain-containing protein,QM012_006209,334
A0ABR0TS69,Senescence domain-containing protein,QM012_006301,513
A0ABR0TS83,Ribosomal protein L19,QM012_005749,204
A0ABR0TSD9,Uncharacterized protein,QM012_004168,404
A0ABR0TSG2,Apurinic-apyrimidinic endonuclease 1,QM012_005808,535
A0ABR0TSP2,UEV-domain-containing protein,QM012_004287,553
A0ABR0TSV5,DUF8004 domain-containing protein,QM012_006249,774
A0ABR0TSZ8,Uncharacterized protein,QM012_004382,649
A0ABR0TT80,Rhodopsin domain-containing protein,QM012_004463,327
A0ABR0TTN0,Uncharacterized protein,QM012_004657,221
A0ABR0TTW7,Protein root UVB sensitive/RUS domain-containing protein,QM012_004415,82
A0ABR0TU59,Glutathione peroxidase,QM012_004199,167
A0ABR0TU65,FAD-binding PCMH-type domain-containing protein,QM012_004671,693
A0ABR0TUS1,MFS general substrate transporter,QM012_000107,653
A0ABR0TUX1,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_000187,803
A0ABR0TUX7,Uncharacterized protein,QM012_004504,417
A0ABR0TV44,Rab GTPase Vps21/Ypt51,QM012_004545,244
A0ABR0TV73,RING-type domain-containing protein,QM012_000261,356
A0ABR0TVI1,GDP-mannose transporter,QM012_000225,543
A0ABR0TVK4,threonine synthase,QM012_000424,567
A0ABR0TVZ8,Non-structural maintenance of chromosomes element 4,QM012_000557,452
A0ABR0TWM7,CAF1-domain-containing protein,QM012_000665,662
A0ABR0TWX4,Uncharacterized protein,QM012_000339,449
A0ABR0TX82,Fe2OG dioxygenase domain-containing protein,QM012_000777,279
A0ABR0TXE6,Uncharacterized protein,QM012_000568,908
A0A4S9K794,LSM complex subunit LSm2,QM012_004120,100
A0ABR0T692,CCHC-type domain-containing protein,QM012_005289,633
A0ABR0T6B1,Uncharacterized protein,QM012_005304,125
A0ABR0T6R6,Protein phosphatase PP2A regulatory subunit B,QM012_004124,493
A0ABR0T6W2,Uncharacterized protein,QM012_003812,337
A0ABR0T7J0,Neutral protease 2,QM012_003836,356
A0ABR0T7M2,Fork-head domain-containing protein,QM012_003674,895
A0ABR0T7P8,AB hydrolase-1 domain-containing protein,QM012_004008,246
A0ABR0T825,RED-like N-terminal domain-containing protein,QM012_003325,556
A0ABR0T842,Frequency clock protein,QM012_003340,951
A0ABR0T8K4,Poly [ADP-ribose] polymerase,QM012_003943,621
A0ABR0T8X6,beta-glucosidase,QM012_002981,886
A0ABR0T9R4,Nuclear pore complex protein Nup85,QM012_003406,266
A0ABR0TA28,Aminoglycoside phosphotransferase domain-containing protein,QM012_002623,380
A0ABR0TAB8,DHH family protein,QM012_002715,452
A0ABR0TAC2,DNA endonuclease activator Ctp1 C-terminal domain-containing protein,QM012_002709,650
A0ABR0TAL6,Uncharacterized protein,QM012_002820,377
A0ABR0TAR3,Mitochondrial carrier,QM012_002815,320
A0ABR0TAY5,F-box domain-containing protein,QM012_002890,703
A0ABR0TBP4,DUF7730 domain-containing protein,QM012_002351,294
A0ABR0TC83,Myb-like domain-containing protein,QM012_002867,428
A0ABR0TCY9,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_001935,525
A0ABR0TCZ3,Spo7-domain-containing protein,QM012_001949,477
A0ABR0TDG9,Uncharacterized protein,QM012_002114,295
A0ABR0TDQ1,Proteasome subunit beta,QM012_001317,617
A0ABR0TDU5,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_001353,502
A0ABR0TF26,BTB domain-containing protein,QM012_001291,298
A0ABR0TFD7,Apple domain-containing protein,QM012_001577,821
A0ABR0TFM7,Endoplasmic reticulum chaperone BIP,QM012_001089,672
A0ABR0TFU6,Zn(2)-C6 fungal-type domain-containing protein,QM012_000989,520
A0ABR0TG14,PQ loop repeat protein,QM012_000811,346
A0ABR0TG56,Cytochrome P450,QM012_001094,542
A0ABR0TGA6,Formate/nitrite transporter,QM012_009234,359
A0ABR0TGG7,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial",QM012_009281,497
A0ABR0TGH7,Uncharacterized protein,QM012_000851,94
A0ABR0TGS2,Uncharacterized protein,QM012_009409,180
A0ABR0TGU5,T6SS Phospholipase effector Tle1-like catalytic domain-containing protein,QM012_009416,460
A0ABR0TGW5,Cell cycle control protein,QM012_009445,326
A0ABR0TH06,RING-CH-type domain-containing protein,QM012_009398,450
A0ABR0TH57,Ubiquitin carboxyl-terminal hydrolase,QM012_009228,638
A0ABR0THG5,Fork-head domain-containing protein,QM012_008728,1599
A0ABR0THM2,Large ribosomal subunit protein mL40,QM012_009231,183
A0ABR0THN8,Uncharacterized protein,QM012_009246,307
A0ABR0TIP4,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_008171,790
A0ABR0TIP8,Aminotransferase class V domain-containing protein,QM012_008180,324
A0ABR0TIW1,methionyl-tRNA formyltransferase,QM012_008243,384
